Timestamp,Table,"Record ID",User,Action,Query
"2026-05-08 06:30:42",users,1,admin,LOGIN,"USER LOGIN SUCCESS"
"2026-05-08 10:16:00",DATABASE,0,admin,BACKUP,"BACKUP TRIGGERED"
"2026-05-08 10:16:00",tc_users,1,admin,LOGOUT,"USER LOGOUT - Backup created: backup_training_center_db_2026-05-08_10-16-00.sql"
"2026-05-08 10:25:22",tc_users,Multiple/Where,Guest/System,UPDATE,"UPDATE tc_users SET custom_id = :upd_custom_id, unique_number = :upd_unique_number WHERE id = :id"
"2026-05-08 10:25:22",tc_users,1,Guest/System,REGISTER,"INSERT INTO tc_users (name,mobile,username,password,role,created_date_time,updated_date_time) VALUES (:name,:mobile,:username,:password,:role,:created_date_time,:updated_date_time)"
"2026-05-08 10:25:33",tc_users,1,Lakshmi,LOGIN,"USER LOGIN SUCCESS"
"2026-05-08 10:25:33",tc_logins,1,Lakshmi,LOGIN_RECORD,"INSERT INTO tc_logins (user_id,login_date_time) VALUES (:user_id,:login_date_time)"
"2026-05-08 10:32:12",tc_logins,Multiple/Where,Lakshmi,UPDATE,"UPDATE tc_logins SET logout_date_time = :upd_logout_date_time WHERE id = :id"
"2026-05-08 10:32:12",DATABASE,0,Lakshmi,BACKUP,"BACKUP TRIGGERED"
"2026-05-08 10:32:12",tc_users,1,Lakshmi,LOGOUT,"USER LOGOUT - Backup created: backup_training_center_db_2026-05-08_10-32-12.sql"
"2026-05-08 10:33:17",tc_users,Multiple/Where,Guest/System,UPDATE,"UPDATE tc_users SET custom_id = :upd_custom_id, unique_number = :upd_unique_number WHERE id = :id"
"2026-05-08 10:33:17",tc_users,1,Guest/System,REGISTER,"INSERT INTO tc_users (name,mobile,username,password,role,created_date_time,updated_date_time) VALUES (:name,:mobile,:username,:password,:role,:created_date_time,:updated_date_time)"
"2026-05-08 10:33:27",tc_users,1,Lakshmi,LOGIN,"USER LOGIN SUCCESS"
"2026-05-08 10:33:27",tc_logins,1,Lakshmi,LOGIN_RECORD,"INSERT INTO tc_logins (user_id,login_date_time) VALUES (:user_id,:login_date_time)"
"2026-05-08 10:35:35",tc_roles,1,Lakshmi,"ADD ROLE","INSERT INTO tc_roles (role_name,description,created_date_time) VALUES (:role_name,:description,:created_date_time)"
"2026-05-08 10:35:47",tc_roles,2,Lakshmi,"ADD ROLE","INSERT INTO tc_roles (role_name,description,created_date_time) VALUES (:role_name,:description,:created_date_time)"
